Category/Description,Name,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
Housing Developments / Apartment Complexes,The Residents at St. Elizabeth's East,"1201 Oak Dr SE SE, Washington, DC 20032","1201 Oak Dr SE, Washington, District of Columbia, 20032",-76.99172399999999,38.84628599999999,PointAddress,99.33,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-76.99172399999998 38.84628600000008),A,"1201 Oak Dr SE, Washington, DC, 20032, USA",1201 Oak Dr SE,,,"1201 Oak Dr SE, Washington, District of Columbia, 20032",,,20.0,,1201,,,,,,,Oak,Dr,SE,,,,,,,,1201 Oak Dr SE,,,,,,20032,,USA,United States,ENG,0.0,-76.99172399999999,38.84628599999999,-76.992724,-76.99072399999999,38.845285999999994,38.84728599999999,SE
Housing Developments / Apartment Complexes,District Towns at St. Elizabeth’s East,"1127 Sycamore Dr SE, Washington, DC 20032","1127 Sycamore Dr SE, Washington, District of Columbia, 20032",-76.9910805,38.844584999999995,PointAddress,100.0,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-76.99108049999995 38.84458500000005),A,"1127 Sycamore Dr SE, Washington, DC, 20032, USA",1127 Sycamore Dr SE,,,"1127 Sycamore Dr SE, Washington, District of Columbia, 20032",,,20.0,,1127,,,,,,,Sycamore,Dr,SE,,,,,,,,1127 Sycamore Dr SE,,,,,,20032,,USA,United States,ENG,0.0,-76.9910805,38.844584999999995,-76.9920805,-76.99008049999999,38.843585,38.84558499999999,
Housing Developments / Apartment Complexes,Savannah Apartments,"3230 13th St SE, Washington, DC 20032","3230 13th St SE, Washington, District of Columbia, 20032",-76.98845304044922,38.84394862714733,StreetAddress,100.0,M,District of Columbia,DC,District of Columbia,Washington DC Metro Area,Washington,Shipley Terrace,POINT (-76.98845303999997 38.84394862700003),A,"3230 13th St SE, Washington, DC, 20032, USA",3230 13th St SE,,,"3230 13th St SE, Washington, District of Columbia, 20032",,,20.0,,3230,3230,3200,3200-3230,R,,,13th,St,SE,,,,,,,,3230 13th St SE,,,,,,20032,4523,USA,United States,ENG,0.0,-76.98845304044922,38.84394862714733,-76.98945304044922,-76.98745304044921,38.84294862714733,38.844948627147325,
Housing Developments / Apartment Complexes,"Carrie Care Facility, LLC","542 Lebaum St SE, Washington, DC 20032","542 Lebaum St SE, Washington, District of Columbia, 20032",-76.997727,38.847132000000016,PointAddress,100.0,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-76.99772699999994 38.84713200000004),A,"542 Lebaum St SE, Washington, DC, 20032, USA",542 Lebaum St SE,,,"542 Lebaum St SE, Washington, District of Columbia, 20032",,,20.0,,542,,,,,,,Lebaum,St,SE,,,,,,,,542 Lebaum St SE,,,,,,20032,,USA,United States,ENG,0.0,-76.997727,38.847132000000016,-76.998727,-76.99672699999999,38.84613200000002,38.848132000000014,
Housing Developments / Apartment Complexes,Randle Hill Apartments,"3320 6th St SE, Washington, DC 20032","3320 6th St SE, Washington, District of Columbia, 20032",-76.997439,38.840292000000005,PointAddress,100.0,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-76.99743899999999 38.84029200000003),A,"3320 6th St SE, Washington, DC, 20032, USA",3320 6th St SE,,,"3320 6th St SE, Washington, District of Columbia, 20032",,,20.0,,3320,,,,,,,6th,St,SE,,,,,,,,3320 6th St SE,,,,,,20032,,USA,United States,ENG,0.0,-76.997439,38.840292000000005,-76.998439,-76.996439,38.83929200000001,38.841292,
Community Centers,R.I.S.E. Demonstration Center,"2730 Martin Luther King Jr Ave SE, Washington, DC 20032","2730 Martin Luther King Jr Ave SE, Washington, District of Columbia, 20032",-76.995378,38.847114000000005,PointAddress,100.0,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-76.99537799999996 38.84711400000003),A,"2730 Martin Luther King Jr Ave SE, Washington, DC, 20032, USA",2730 Martin Luther King Jr Ave SE,,,"2730 Martin Luther King Jr Ave SE, Washington, District of Columbia, 20032",,,20.0,,2730,,,,,,,Martin Luther King Jr,Ave,SE,,,,,,,,2730 Martin Luther King Jr Ave SE,,,,,,20032,,USA,United States,ENG,0.0,-76.995378,38.847114000000005,-76.996378,-76.994378,38.84611400000001,38.848114,
Community Centers,Congress Heights Arts And Culture Center,"3200 Martin Luther King Jr Ave SE, Washington, DC 20032","3200 Martin Luther King Jr Ave SE, Washington, District of Columbia, 20032",-77.0007825,38.842659,PointAddress,100.0,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-77.00078249999996 38.84265900000003),A,"3200 Martin Luther King Jr Ave SE, Washington, DC, 20032, USA",3200 Martin Luther King Jr Ave SE,,,"3200 Martin Luther King Jr Ave SE, Washington, District of Columbia, 20032",,,20.0,,3200,,,,,,,Martin Luther King Jr,Ave,SE,,,,,,,,3200 Martin Luther King Jr Ave SE,,,,,,20032,,USA,United States,ENG,0.0,-77.0007825,38.842659,-77.0017825,-76.9997825,38.841659,38.843658999999995,
Churches / Congregations / Religious Organizations,Moorish Science Temple,"2905 5th St SE, Washington, DC 20032","2905 5th St SE, Washington, District of Columbia, 20032",-77.0004,38.846997000000016,PointAddress,100.0,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-77.00039999999996 38.84699700000004),A,"2905 5th St SE, Washington, DC, 20032, USA",2905 5th St SE,,,"2905 5th St SE, Washington, District of Columbia, 20032",,,20.0,,2905,,,,,,,5th,St,SE,,,,,,,,2905 5th St SE,,,,,,20032,,USA,United States,ENG,0.0,-77.0004,38.846997000000016,-77.0014,-76.9994,38.84599700000002,38.847997000000014,
Churches / Congregations / Religious Organizations,Catch of the Day DC Church,"2730 Martin Luther King Jr Ave SE, Washington, DC 20032","2730 Martin Luther King Jr Ave SE, Washington, District of Columbia, 20032",-76.995378,38.847114000000005,PointAddress,100.0,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-76.99537799999996 38.84711400000003),A,"2730 Martin Luther King Jr Ave SE, Washington, DC, 20032, USA",2730 Martin Luther King Jr Ave SE,,,"2730 Martin Luther King Jr Ave SE, Washington, District of Columbia, 20032",,,20.0,,2730,,,,,,,Martin Luther King Jr,Ave,SE,,,,,,,,2730 Martin Luther King Jr Ave SE,,,,,,20032,,USA,United States,ENG,0.0,-76.995378,38.847114000000005,-76.996378,-76.994378,38.84611400000001,38.848114,
Churches / Congregations / Religious Organizations,Greater Fellowship DGBC,"814 Alabama Ave SE, Washington, DC 20032","814 Alabama Ave SE, Washington, District of Columbia, 20032",-76.9938615,38.844018000000005,PointAddress,100.0,M,District of Columbia,DC,District of Columbia,,Washington,,POINT (-76.99386149999998 38.84401800000006),A,"814 Alabama Ave SE, Washington, DC, 20032, USA",814 Alabama Ave SE,,,"814 Alabama Ave SE, Washington, District of Columbia, 20032",,,20.0,,814,,,,,,,Alabama,Ave,SE,,,,,,,,814 Alabama Ave SE,,,,,,20032,,USA,United States,ENG,0.0,-76.9938615,38.844018000000005,-76.9948615,-76.99286149999999,38.84301800000001,38.845018,
