GEOID,block_group,tract,county,state,geometry,total_under5,total_5to9,total_10to14,total_15to17,total_18to19,total_20,total_21,total_22to24,total_25to29,total_30to34,total_35to39,total_40to44,total_45to49,total_50to54,total_55to59,total_60and61,total_62to64,total_65and66,total_67to69,total_70to74,total_75to79,total_80to84,total_85plus,age_group,percentage,generation_cat
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,under5,0,21 and under
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,5to9,0.03383084577114428,21 and under
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,10to14,0.11343283582089553,21 and under
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,15to17,0.025870646766169153,21 and under
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,18to19,0.030845771144278607,21 and under
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,20,0.001990049751243781,21 and under
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,21,0.05771144278606965,21 and under
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,22to24,0.07562189054726368,Over 21 and under 55
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,25to29,0.014925373134328358,Over 21 and under 55
110010073042,Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia,"list(c(-76.994226, -76.992176, -76.991658, -76.990849, -76.988503, -76.988676, -76.993563, -76.993616, -76.994226, 38.843688, 38.844039, 38.844127, 38.840379, 38.840827, 38.839823, 38.838805, 38.840245, 38.843688))",0,34,114,26,31,2,58,76,15,96,58,306,73,12,38,0,17,0,44,5,0,0,0,30to34,0.0955223880597015,Over 21 and under 55
